Category,City,Country,Customer ID,Customer Name,Order Date,Order ID,Order ID (Returns),Person,Postal Code,Product ID,Product Name,Quantity (bin),Region,Region (People),Returned,Row ID,Segment,Ship Date,Ship Mode,State,Sub-Category,Discount,Number of Records,OrderUntilShip,Profit,Profit/1 client,Quantity,ROS,Sales,Sales/1 order
Office Supplies,Houston,United States,DP-13000,Darren Powers,03/01/14,CA-2014-103800,,Kelly Williams,77095,OFF-PA-10000174,"Message Book, Wirebound, Four 5 1/2"" X 4"" Forms/Pg., 200 Dupl. Sets/Book",2,Central,Central,,7981,Consumer,07/01/14,Standard Class,Texas,Paper,0.2,1,4,5.5512,5.5512,2,0.3375,16.448,16.448
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,04/01/14,CA-2014-112326,,Kelly Williams,60540,OFF-BI-10004094,GBC Standard Plastic Binding Systems Combs,2,Central,Central,,742,Home Office,08/01/14,Standard Class,Illinois,Binders,0.8,1,4,-5.487,-5.487,2,-1.55,3.54,3.54
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,04/01/14,CA-2014-112326,,Kelly Williams,60540,OFF-LA-10003223,Avery 508,2,Central,Central,,740,Home Office,08/01/14,Standard Class,Illinois,Labels,0.2,1,4,4.2717,4.2717,3,0.3625,11.784,11.784
Office Supplies,Naperville,United States,PO-19195,Phillina Ober,04/01/14,CA-2014-112326,,Kelly Williams,60540,OFF-ST-10002743,SAFCO Boltless Steel Shelving,2,Central,Central,,741,Home Office,08/01/14,Standard Class,Illinois,Storage,0.2,1,4,-64.7748,-64.7748,3,-0.2375,272.736,272.736
Office Supplies,Philadelphia,United States,MB-18085,Mick Brown,05/01/14,CA-2014-141817,,Chuck Magee,19143,OFF-AR-10003478,"Avery Hi-Liter EverBold Pen Style Fluorescent Highlighters, 4/Pack",2,East,East,,1760,Consumer,12/01/14,Standard Class,Pennsylvania,Art,0.2,1,7,4.884,4.884,3,0.25,19.536,19.536
Office Supplies,Athens,United States,JO-15145,Jack O'Briant,06/01/14,CA-2014-106054,,Cassandra Brandow,30605,OFF-AR-10002399,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",2,South,South,,7181,Corporate,07/01/14,First Class,Georgia,Art,0,1,1,5.2398,5.2398,3,0.41,12.78,12.78
Office Supplies,Los Angeles,United States,LS-17230,Lycoris Saunders,06/01/14,CA-2014-130813,,Anna Andreadi,90049,OFF-PA-10002005,Xerox 225,2,West,West,,5328,Consumer,08/01/14,Second Class,California,Paper,0,1,2,9.3312,9.3312,3,0.48,19.44,19.44
Furniture,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,FUR-CH-10004063,Global Deluxe High-Back Manager's Chair,9,South,South,,7475,Home Office,10/01/14,Standard Class,Kentucky,Chairs,0,1,4,746.4078,746.4078,9,0.29,"2,573.82","2,573.82"
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,OFF-AR-10001662,Rogers Handheld Barrel Pencil Sharpener,2,South,South,,7477,Home Office,10/01/14,Standard Class,Kentucky,Art,0,1,4,1.4796,1.4796,2,0.27,5.48,5.48
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,OFF-BI-10004632,Ibico Hi-Tech Manual Binding System,2,South,South,,7476,Home Office,10/01/14,Standard Class,Kentucky,Binders,0,1,4,274.491,274.491,2,0.45,609.98,609.98
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,OFF-FA-10001883,"Alliance Super-Size Bands, Assorted Sizes",4,South,South,,7480,Home Office,10/01/14,Standard Class,Kentucky,Fasteners,0,1,4,0.3112,0.3112,4,0.01,31.12,31.12
Office Supplies,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,OFF-PA-10000955,Southworth 25% Cotton Granite Paper & Envelopes,0,South,South,,7481,Home Office,10/01/14,Standard Class,Kentucky,Paper,0,1,4,3.0084,3.0084,1,0.46,6.54,6.54
Technology,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,TEC-PH-10004977,GE 30524EE4,2,South,South,,7478,Home Office,10/01/14,Standard Class,Kentucky,Phones,0,1,4,113.6742,113.6742,2,0.29,391.98,391.98
Technology,Henderson,United States,ME-17320,Maria Etezadi,06/01/14,CA-2014-167199,,Cassandra Brandow,42420,TEC-PH-10004539,Wireless Extenders zBoost YX545 SOHO Signal Booster,4,South,South,,7479,Home Office,10/01/14,Standard Class,Kentucky,Phones,0,1,4,204.1092,204.1092,4,0.27,755.96,755.96
Furniture,Huntsville,United States,VS-21820,Vivek Sundaresam,07/01/14,CA-2014-105417,,Kelly Williams,77340,FUR-FU-10004864,"Howard Miller 14-1/2"" Diameter Chrome Round Wall Clock",2,Central,Central,,7661,Consumer,12/01/14,Standard Class,Texas,Furnishings,0.6,1,5,-53.7096,-53.7096,3,-0.7,76.728,76.728
Office Supplies,Huntsville,United States,VS-21820,Vivek Sundaresam,07/01/14,CA-2014-105417,,Kelly Williams,77340,OFF-BI-10003708,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",5,Central,Central,,7662,Consumer,12/01/14,Standard Class,Texas,Binders,0.8,1,5,-18.2525,-18.2525,7,-1.75,10.43,10.43
Office Supplies,Laredo,United States,MS-17830,Melanie Seite,09/01/14,CA-2014-135405,,Kelly Williams,78041,OFF-AR-10004078,Newell 312,2,Central,Central,,593,Consumer,13/01/14,Standard Class,Texas,Art,0.2,1,4,1.168,1.168,2,0.125,9.344,9.344
